7772
NON DEL DUP INV
0.6718999999999999 0.28 0.0471 0.001 
0.942 0.058 0.0 0.0 
0.9395 0.06 0.0005 0.0 
0.6537000000000001 0.297 0.049300000000000004 0.0 
0.9861666666666667 0.012 0.0018333333333333333 0.0 
0.79375 0.192 0.01425 0.0 
0.9521666666666666 0.037 0.010833333333333332 0.0 
0.7232714285714287 0.225 0.05172857142857142 0.0 
0.787 0.197 0.016 0.0 
0.952 0.045 0.003 0.0 
0.988 0.012 0.0 0.0 
0.94475 0.051 0.00325 0.001 
0.6686666666666667 0.322 0.009333333333333332 0.0 
0.4983166666666667 0.488 0.010683333333333333 0.003 
0.4876666666666667 0.492 0.020333333333333335 0.0 
0.5899 0.399 0.0050999999999999995 0.006 
0.888 0.11 0.002 0.0 
0.91 0.084 0.006 0.0 
0.988 0.012 0.0 0.0 
0.961 0.039 0.0 0.0 
0.917 0.083 0.0 0.0 
0.989 0.011 0.0 0.0 
0.28046666666666664 0.051 0.6685333333333333 0.0 
0.7541666666666668 0.243 0.002833333333333333 0.0 
0.87425 0.119 0.00575 0.001 
0.8876000000000001 0.112 0.0004 0.0 
0.8798333333333334 0.107 0.013166666666666667 0.0 
0.2662 0.011 0.7228 0.0 
0.8430833333333334 0.156 0.0009166666666666666 0.0 
0.586 0.414 0.0 0.0 
0.765 0.233 0.002 0.0 
0.8156476190476188 0.064 0.11535238095238093 0.005 
0.5073666666666667 0.405 0.08763333333333334 0.0 
0.9563333333333334 0.039 0.0036666666666666666 0.001 
0.8629357142857143 0.026 0.1110642857142857 0.0 
0.986 0.014 0.0 0.0 
0.954 0.046 0.0 0.0 
0.7395999999999999 0.228 0.032400000000000005 0.0 
0.8571666666666666 0.129 0.011833333333333333 0.002 
0.68975 0.248 0.05424999999999999 0.008 
0.2812166666666666 0.006 0.7127833333333333 0.0 
0.23959999999999998 0.097 0.6634 0.0 
0.8018333333333333 0.189 0.009166666666666667 0.0 
0.8694166666666666 0.122 0.008583333333333332 0.0 
0.7831428571428571 0.216 0.0008571428571428571 0.0 
0.8128333333333334 0.131 0.054166666666666655 0.002 
0.47694523809523814 0.446 0.07505476190476192 0.002 
0.3735 0.605 0.0215 0.0 
0.5125 0.481 0.0055 0.001 
0.6768333333333333 0.24 0.07916666666666666 0.004 
0.735097619047619 0.146 0.09690238095238096 0.022 
0.7952666666666666 0.149 0.05573333333333335 0.0 
0.45558333333333334 0.527 0.014416666666666666 0.003 
0.949 0.051 0.0 0.0 
0.8165 0.182 0.0015 0.0 
0.8171833333333334 0.166 0.01681666666666667 0.0 
0.935 0.044 0.021 0.0 
0.999 0.0 0.001 0.0 
0.9776666666666668 0.02 0.0023333333333333335 0.0 
0.967 0.033 0.0 0.0 
0.6453666666666666 0.344 0.009633333333333332 0.001 
0.7645 0.218 0.0135 0.004 
0.944 0.055 0.0 0.001 
0.7168166666666667 0.222 0.06118333333333334 0.0 
0.913797619047619 0.068 0.018202380952380953 0.0 
0.6440777777777777 0.323 0.032922222222222214 0.0 
0.5299666666666666 0.311 0.12503333333333336 0.034 
0.6860666666666665 0.18 0.11893333333333332 0.015 
0.6437333333333334 0.262 0.09226666666666666 0.002 
